Stoichiometry,Voltage [V]
0.317798093756079,4.1874051
0.320539348454186,4.1853995
0.32328060991129,4.1834893
0.326021854134799,4.1819229
0.328763115850293,4.1805091
0.331504366853936,4.1791143
0.334245616160724,4.1777582
0.336986870968338,4.1762681
0.339728141199897,4.1751027
0.342469397871915,4.1737275
0.34521065246818,4.1724095
0.347951923058127,4.1707091
0.350693191140983,4.1689897
0.353434452164913,4.1670222
0.356175713197174,4.1647491
0.358916983008766,4.1621699
0.361658259019949,4.1592474
0.364399508918173,4.1560569
0.367140760738701,4.1525612
0.369882000051742,4.1490459
0.372623252095866,4.1451492
0.375364516583318,4.1411376
0.378105775504924,4.1369157
0.380847030217372,4.1324835
0.383588295590598,4.1280899
0.386329550990017,4.1235814
0.389070793497594,4.1188822
0.391812045249664,4.1142974
0.394553317106925,4.1096745
0.397294591988956,4.1049752
0.400035870186842,4.1001992
0.402777145289295,4.0955763
0.405518416405216,4.0907817
0.408259692447207,4.0861969
0.411000949416703,4.0815544
0.413742221364912,4.0771036
0.416483477362666,4.072576
0.419224740682328,4.0683737
0.421966028537458,4.0639606
0.424707285842044,4.0598154
0.427448537756244,4.0556889
0.430189815989102,4.0516391
0.432931088796824,4.047761
0.435672369982121,4.0437684
0.43841365434959,4.0400434
0.441154927588483,4.0363183
0.443896204347495,4.0328608
0.446637477556914,4.0292501
0.449378748359223,4.0257163
0.452120027846635,4.0224113
0.454861300867378,4.0190301
0.457602570018609,4.0156488
0.46034383267492,4.0125732
0.463085097051246,4.0093446
0.465826354183178,4.0060973
0.468567621463942,4.0030217
0.471308884972563,3.9999266
0.474050162004691,3.9966981
0.476791435818446,3.9936035
0.479532707690112,3.9902987
0.482273946311054,3.9872038
0.485015197191156,3.9838991
0.487756492369086,3.980747
0.490497751993428,3.9774232
0.493239012743306,3.9741373
0.495980283997767,3.9708707
0.498721562352123,3.9675086
0.501462826372985,3.9639745
0.504204087016138,3.9606504
0.506945348292658,3.9570782
0.509686614128998,3.9534104
0.512427884316006,3.9499338
0.515169160115387,3.9462276
0.517910428455096,3.9425406
0.520651683088943,3.9388347
0.523392936975587,3.9350715
0.526134200295737,3.9313846
0.528875456334009,3.9274683
0.53161672481858,3.9235713
0.534357988770802,3.9197316
0.537099252021182,3.9157581
0.539840513642971,3.91167
0.54258178212506,3.9077346
0.54532303766764,3.9037421
0.548064294442066,3.899807
0.550805539729881,3.8956234
0.553546783563302,3.89165
0.556288043294806,3.8876574
0.559029287650295,3.8835311
0.561770540931095,3.8793666
0.564511795754583,3.8753741
0.567253037433198,3.8712478
0.569994294489366,3.8672361
0.572735552417746,3.8631289
0.575476830011451,3.8591554
0.578218099441927,3.8551819
0.580959366512266,3.8511894
0.583700610803926,3.8473115
0.586441858099313,3.8436627
0.589183111371117,3.839823
0.591924363294905,3.8360023
0.594665616831287,3.8324683
0.597406865455672,3.828896
0.600148132169774,3.8255339
0.602889383199424,3.8220379
0.605630636669338,3.8188286
0.608371882431293,3.815562
0.611113123693418,3.8122952
0.613854388531566,3.8093534
0.616595623698885,3.8063159
0.619336890549748,3.8034122
0.622078143121364,3.8005087
0.624819392580882,3.7978342
0.627560642044819,3.7950833
0.630301874378269,3.7924662
0.633043125017033,3.7898681
0.635784364119372,3.7874038
0.63852560997022,3.7848439
0.641266849598577,3.7824943
0.644008086633821,3.7801065
0.646749325007628,3.7777185
0.649490587047982,3.7755027
0.652231840844731,3.7733247
0.654973084598304,3.7710133
0.657714320703514,3.7687974
0.66045556863067,3.7667725
0.663196810870596,3.7645946
0.665938056323825,3.7623787
0.668679312347386,3.7604876
0.671420552310825,3.7584817
0.674161787549066,3.7564566
0.67690303033151,3.7543554
0.679644283589364,3.7524641
0.682385526975641,3.7504582
0.685126777211923,3.7483377
0.68786803131976,3.7465041
0.690609295917635,3.7444789
0.693350551207944,3.7424731
0.696091811841016,3.7407157
0.698833076803379,3.7385762
0.701574335754616,3.7367804
0.704315616906256,3.7347937
0.707056898287462,3.7328835
0.709798183245743,3.7309539
0.71253945580476,3.7289481
0.715280728551728,3.7269995
0.718021999831175,3.7249937
0.72076327091388,3.7231407
0.723504544545524,3.7212305
0.726245812343213,3.7190719
0.728987107447929,3.7170851
0.731728390948552,3.7151747
0.734469667919156,3.7132072
0.737210929726512,3.7110868
0.739952179402156,3.7090425
0.742693444626394,3.7070751
0.745434727587252,3.7050118
0.748175990334271,3.7028913
0.750917252580728,3.7008855
0.753658515723962,3.6987841
0.756399793722417,3.6965873
0.759141067684986,3.6943331
0.761882342237673,3.6923082
0.764623624793638,3.6900349
0.767364919279137,3.6877809
0.770106201069236,3.6855648
0.772847471754835,3.6834061
0.775588754320662,3.6811328
0.778330041909802,3.6788597
0.781071346113925,3.6764908
0.783812624109895,3.6741412
0.786553899303039,3.6717916
0.789295183216889,3.6694992
0.792036457451176,3.6670349
0.794777736467455,3.6647041
0.797519027956804,3.6622589
0.800260313445462,3.6599283
0.803001571204861,3.657445
0.80574283673478,3.6550953
0.808484094697897,3.6525164
0.811225339922912,3.6499946
0.81396658250161,3.6475303
0.816707834687858,3.6452572
0.819449081753383,3.6427736
0.822190316808444,3.6403093
0.824931530965603,3.6378641
0.827672768869136,3.6355145
0.830413998158609,3.6330693
0.833155230048756,3.6305478
0.835896459285853,3.6281788
0.838637690130503,3.625772
0.841378905901618,3.623575
0.84412013455517,3.6210725
0.846861353913388,3.6188374
0.849602584760572,3.6164687
0.852343807792592,3.6140997
