

Measurement ID,6325
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1272
Program,168 - MSM_Rate_2C
Start Time,8/20/2020 11:19:01 AM
End Time,8/21/2020 1:33:31 AM
Test section,TS006018
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,LogTemp002,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],
5,PAU,0.018,0.291,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,120.078,120.351,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,240.123,240.396,0,0,MSM_Rate_2C,4.14427,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,360.101,360.374,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,480.111,480.384,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,600.194,600.467,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,720.129,720.402,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,840.167,840.440,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,960.154,960.427,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1080.112,1080.385,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1200.075,1200.348,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1320.088,1320.361,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1440.083,1440.356,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1560.130,1560.403,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,1680.141,1680.414,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1800.144,1800.417,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,1920.206,1920.479,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,2040.149,2040.422,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,2160.177,2160.450,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,2280.075,2280.348,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,2400.115,2400.388,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,2520.107,2520.380,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,2640.124,2640.397,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,2760.153,2760.426,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,2880.140,2880.413,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3000.083,3000.356,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3120.165,3120.438,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3240.122,3240.395,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3360.113,3360.386,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
5,PAU,3480.152,3480.425,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3600.103,3600.376,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3720.057,3720.330,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3840.102,3840.375,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.30000,
5,PAU,3960.134,3960.407,0,0,MSM_Rate_2C,4.14438,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,23.40000,
