

Measurement ID,6313
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1254
Program,189 - MSM_Rate_C10
Start Time,8/20/2020 11:14:07 AM
End Time,8/21/2020 8:11:56 PM
Test section,TS006006
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],
5,PAU,0.014,0.260,0,0,MSM_Rate_C10,4.14396,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,120.093,120.339,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,240.087,240.333,0,0,MSM_Rate_C10,4.14396,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,360.054,360.300,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,480.082,480.328,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,600.072,600.318,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,720.042,720.288,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,840.143,840.389,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,960.196,960.442,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,
5,PAU,1080.175,1080.421,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1200.064,1200.310,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1320.088,1320.334,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1440.047,1440.293,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1560.084,1560.330,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1680.130,1680.376,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1800.090,1800.336,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
5,PAU,1920.146,1920.392,0,0,MSM_Rate_C10,4.14407,0.00000,0.00000,0.00000,0.00000,0.00000,24.50000,
