

Measurement ID,6314
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1256
Program,166 - MSM_Rate_05C
Start Time,8/20/2020 11:14:28 AM
End Time,8/21/2020 4:22:22 AM
Test section,TS006007
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTempPositive,LogTempMid,LogTempNegative,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],[T1],
5,PAU,0.013,0.115,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
5,PAU,120.102,120.204,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
5,PAU,240.105,240.207,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
5,PAU,360.108,360.210,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
5,PAU,480.024,480.126,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,600.089,600.191,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,720.078,720.180,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.50000,24.50000,
5,PAU,840.060,840.162,0,0,MSM_Rate_05C,4.14456,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
5,PAU,960.133,960.235,0,0,MSM_Rate_05C,4.14445,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
5,PAU,1080.055,1080.157,0,0,MSM_Rate_05C,4.14456,0.00000,0.00000,0.00000,0.00000,0.00000,24.30000,24.50000,24.50000,
