

Measurement ID,6310
Battery Name,LG M50
Battery Type,
Circuit,MCCD_1250
Program,189 - MSM_Rate_C10
Start Time,8/20/2020 11:18:44 AM
End Time,8/21/2020 8:25:52 PM
Test section,TS006003
Comment,
OrderNo,



Step,Status,Step Time,Prog Time,Cycle,Cycle Level,Procedure,Voltage,Current,AhAccu,AhPrev,WhAccu,Watt,LogTempPositive,LogTempMid,LogTempNegative,LogTemp001,
[],[],[ss.xxx],[ss.xxx],[],[],[],[V],[A],[Ah],[AhPrev],[Wh],[Watt],[T1],[T1],[T1],[T1],
5,PAU,0.015,0.148,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,120.108,120.241,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,240.068,240.201,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,360.185,360.318,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,480.046,480.179,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,600.086,600.219,0,0,MSM_Rate_C10,4.14354,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,720.117,720.250,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,840.127,840.260,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,960.082,960.215,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
5,PAU,1080.039,1080.172,0,0,MSM_Rate_C10,4.14343,0.00000,0.00000,0.00000,0.00000,0.00000,24.40000,24.40000,24.40000,24.40000,
